"Cor","PValue","QValue","label","numCellLines"
"0.165661436013551","1.5967405497964525e-8","0.000005811795869227216","GPX6","1150"
"0.16546867998089423","0.4396982156090507","0.8327942016503502","SH2B2","24"
"0.16491266220274256","0.4412583049815061","0.8327942016503502","LY6L","24"
"0.1648575606048195","0.441413070901943","0.8327942016503502","OVCH1","24"
"0.164517249500167","0.4423695558062223","0.8327942016503502","PRAMEF17","24"
"0.16395896031026644","2.245264270661953e-8","0.000007681947175642805","LDB1","1150"
"0.1632719706080747","0.0028052671851901264","0.020104414827195907","LYNX1","333"
"0.16311259191488556","0.4463291563731836","0.83707770082065","KCP","24"
"0.16231925321761517","3.107410809466231e-8","0.000010222783984142079","JAKMIP1","1150"
"0.1621678198439288","3.201557646356898e-8","0.000010333782387967443","SGSM2","1150"
"0.16155443248979193","0.004042635094755535","0.020213175473777677","ARL6IP4","315"
"0.16145524316003132","0.45102509196270335","0.8387629428320226","SARM1","24"
"0.16120062833277093","0.0031788709987960054","0.02158286099182551","KLHDC7B","333"
"0.16033685946421633","0.45420855275406513","0.8387629428320226","LRRC53","24"
"0.16019675576554718","0.4546081839776167","0.8387629428320226","UGT2B10","24"
"0.15953684170934163","0.4564929952683492","0.8387629428320226","DCAF13","24"
"0.158934208026358","6.015666816109123e-8","0.000015832309572796732","AMIGO3","1150"
"0.15757046808772548","7.81924486932327e-8","0.00001996474954918107","HTR5A","1150"
"0.15710102239774826","8.553454438401678e-8","0.000021518227217314336","CREB5","1150"
"0.15698542366958787","0.4638184889611776","0.8387629428320226","CYFIP2","24"
"0.15682694421690843","0.4642755049070742","0.8387629428320226","FTCDNL1","24"
"0.15677068547938622","0.46443779736848856","0.8387629428320226","PLEKHA2","24"
"0.15633684897370356","9.89332979987625e-8","0.000023276444557147698","ARHGAP39","1150"
"0.15630168256634347","0.4657918958181856","0.8387629428320226","OR8G1","24"
"0.15586118143357217","1.1834717942176176e-7","0.000011242982045067367","ALPG","1143"
"0.1555567476048769","1.1469550647228212e-7","0.000026161280389617736","PCDHB10","1150"
"0.15534467465237917","1.1938384789124715e-7","0.00002687236165625743","MAPK4","1150"
"0.15484689431277754","1.3112727944831203e-7","0.000028758902173362486","HEXD","1150"
"0.15471784521507514","1.3434939857006347e-7","0.000028793391452473067","THSD7A","1150"
"0.15440948489633347","1.4236135950623437e-7","0.000029717159729282007","RHCE","1150"
"0.15435199721768336","1.439052255946169e-7","0.000029717159729282007","FAT1","1150"
"0.15432502747065827","1.4463507567727728e-7","0.000029717159729282007","C14orf180","1150"
"0.15421476178296376","1.476564316939832e-7","0.000029717159729282007","WNT3","1150"
"0.1536674068615139","1.6357949718973256e-7","0.00003216499377499719","COPS7B","1150"
"0.15356897102313943","0.4737221353745432","0.8438706139109247","MAP3K15","24"
"0.15352317348808128","1.680439639206835e-7","0.000032667364668081055","EDN3","1150"
"0.15338938976744393","1.7228999802160684e-7","0.00003311646063096211","ABI3","1150"
"0.15325790985949986","1.7656374340790363e-7","0.00003348434827783541","ITGAE","1150"
"0.1525336932323726","2.020020229093628e-7","0.00003676221921181351","MT1B","1150"
"0.1515395822851639","2.427451449965083e-7","0.00004281073397376565","SGK2","1150"
"0.1510630357770643","2.649841937924879e-7","0.0000453308460320809","RNF166","1150"
"0.15084083607368318","0.0058150102194505825","0.035216839233922714","MON1A","333"
"0.15056051027121312","2.90560935904342e-7","0.00004772360146921746","P2RX6","1150"
"0.15054104002238441","2.915983439242545e-7","0.00004772360146921746","CBX2","1150"
"0.15037148566126896","3.0078475785044646e-7","0.00004808901731352886","KRTAP10-10","1150"
"0.15026605275094948","3.0663714380736715e-7","0.00004857075573252435","RALGDS","1150"
"0.15020144640823832","3.1027741667753053e-7","0.00004861790753271439","RDH14","1150"
"0.15004547148194317","3.1923845235492956e-7","0.00004920010994987189","ITPKB","1150"
"0.14997377285405822","3.2344089784818403e-7","0.000049402709281150745","MADCAM1","1150"
"0.14989905760767566","3.278768896950227e-7","0.0000496370792213518","PIWIL2","1150"
"0.14967229974721652","3.4170203008925514e-7","0.00005127628621699024","ZNF385B","1150"
"0.14950713358391118","3.5212398154940325e-7","0.00005152179602220164","CPLX3","1150"
"0.1490116756100329","3.8525819340264776e-7","0.000054719443738639375","PRKAR1B","1150"
"0.14861156908198087","0.4882826167572293","0.859096144557086","ASDURF","24"
"0.1485543996798228","4.1849059393696796e-7","0.00005721627765273297","MSRB1","1150"
"0.14851577091846113","4.2142111324278684e-7","0.00005721627765273297","GPR62","1150"
"0.14849700578072186","0.4886217328129016","0.859096144557086","NKX1-1","24"
"0.14837007674364686","4.326529542832839e-7","0.00005827869361357589","LVRN","1150"
"0.14830730568254044","0.4891835189329081","0.859096144557086","CCDC168","24"
"0.14812230033415072","4.524200008058464e-7","0.000059534991952197035","PGRMC1","1150"
"0.1477988341836843","4.795380693495857e-7","0.00006119059413252694","CALU","1150"
"0.14776589835369128","4.823854959764553e-7","0.00006119059413252694","CARHSP1","1150"
"0.1477413426076952","4.84519022733941e-7","0.00006119059413252694","LTB","1150"
"0.14745472943795498","5.10103324980529e-7","0.00006323433029305732","LRBA","1150"
"0.1474410945062898","0.4917528593182796","0.8605675038069893","KRTAP6-3","24"
"0.14688641075147313","5.647351356228759e-7","0.00006908079113755737","PDCD4","1150"
"0.14680099080214423","5.734186205373909e-7","0.00006908079113755737","TRIM47","1150"
"0.1466456515764157","0.4941182054212382","0.8616728003310715","TMEM275","24"
"0.14653665177371902","6.011124206087877e-7","0.00007191070055492678","DUSP5","1150"
"0.14633516031309537","6.23082135394828e-7","0.00007300730198766659","ATP13A5","1150"
"0.14617303437682136","0.000002466872813547264","0.0010459540729440401","CLDN22","1030"
"0.14589338042477124","6.739893743363807e-7","0.00007790497450521936","PSCA","1150"
"0.1455638437891721","7.145449866292962e-7","0.00008095179527329384","ATG4D","1150"
"0.14548690956505117","7.243458518516784e-7","0.00008152226636596489","PSD2","1150"
"0.14542786605449676","0.4977503711146093","0.8649717987551078","PPP4R3C","24"
"0.1447641724568702","8.229572219030508e-7","0.00009038862879935403","C10orf67","1150"
"0.14475518935525486","8.242606004968276e-7","0.00009038862879935403","TYMP","1150"
"0.14425959263700944","8.993266067153279e-7","0.00009737202696885516","GDF6","1150"
"0.14410190999272338","0.5017201370127761","0.8658156531088531","SMIM27","24"
