"Cor","PValue","QValue","label","numCellLines"
"-0.08319656786435307","0.004755280657115136","0.09296981280144988","ZRSR2","1150"
"-0.08331447984259488","0.0046960609756976305","0.09227787188868257","CMPK1","1150"
"-0.0833917259267618","0.0046576275148002425","0.09188351966717088","YPEL5","1150"
"-0.08340680808809442","0.004650156721743194","0.09185938919037046","SF3A3","1150"
"-0.08344993035542617","0.0046288562951027805","0.09154432906395754","RGL4","1150"
"-0.08349715970398669","0.0046056284324402135","0.09129180350190609","AMBRA1","1150"
"-0.08356634093295227","0.004571794694471091","0.090892582506827","PRPS2","1150"
"-0.08356753858731263","0.004571210955148283","0.090892582506827","OPN5","1150"
"-0.08359905463292601","0.004555874176141335","0.090892582506827","SNAP23","1150"
"-0.08363050800064298","0.004540614322237524","0.090892582506827","GSDMA","1150"
"-0.08365808696738014","0.004527272228420518","0.090892582506827","FFAR1","1150"
"-0.08373423431348295","0.004490617790693963","0.0902714436491206","RELA","1150"
"-0.0838810080886157","0.004420723176775229","0.08918079172770499","YIPF4","1150"
"-0.08390401017101176","0.007054404064964981","0.0831630439441914","OR51B4","1030"
"-0.08391064433622586","0.004406730259594419","0.08908949734919658","POLA1","1150"
"-0.0839112202818722","0.004406458721270442","0.08908949734919658","PBRM1","1150"
"-0.0839331533940529","0.004396129285931694","0.08908949734919658","NAPA","1150"
"-0.08394025866902931","0.004392787748335229","0.08908949734919658","MPHOSPH8","1150"
"-0.08405154504357853","0.6961835953330171","0.9057676619908624","CECR2","24"
"-0.08411242368031441","0.004312519902220807","0.08808837288378475","ZNF680","1150"
"-0.08420348548075494","0.00427060367822118","0.0877037420448136","HRH4","1150"
"-0.08424471416881583","0.0042517475272825225","0.08742144825627658","MIS18A","1150"
"-0.08431392820804234","0.004220261629435821","0.08708807683324317","LYRM9","1150"
"-0.08433492472122446","0.0042107520266202","0.08707409151493817","OTOA","1150"
"-0.08435204586403698","0.00420301200385502","0.08704712633165597","DAB2","1150"
"-0.08437403517944536","0.6950723106343795","0.9057676619908624","CCDC196","24"
"-0.08438203882839894","0.004189484026436676","0.08687212513969965","SAP30BP","1150"
"-0.08440769927482805","0.004177941506208484","0.08673791911008318","ZMYM1","1150"
"-0.08442601005873777","0.0041697226173778665","0.08667247243679607","RANBP10","1150"
"-0.08449543996458977","0.004138691564093069","0.0861321126361802","TPM2","1150"
"-0.0845356336984051","0.004120823133507811","0.08586470322158114","STARD3","1150"
"-0.08465030185538339","0.0040702301067452465","0.08491393467815968","POMP","1150"
"-0.08466254181459423","0.00406486307692151","0.08490550995958031","RBX1","1150"
"-0.08466725740618863","0.00406279707649231","0.08490550995958031","PLA2G4F","1150"
"-0.08472076296489156","0.004039421742320536","0.08481103827273015","COX7B2","1150"
"-0.08477606569937056","0.004015389462164052","0.08462741630281023","FAM161A","1150"
"-0.08492212443320167","0.003952540409327078","0.08368330294846327","SF3B2","1150"
"-0.08492355219296106","0.003951930472319162","0.08368330294846327","NR1D2","1150"
"-0.08495497485109964","0.0039385283500566765","0.08359355395089277","METTL9","1150"
"-0.08497204400592114","0.003931265451353665","0.08354305351094056","UGT2B17","1150"
"-0.0849983885335605","0.003920079736416578","0.08340896026228656","STX1B","1150"
"-0.08501201428715051","0.003914305664133789","0.08338982191324623","PCDHA7","1150"
"-0.08501661761269179","0.0039123566952277925","0.08338982191324623","LAT","1150"
"-0.08504144175629887","0.0039018617437116972","0.08333227072369039","FERMT3","1150"
"-0.08506807377984675","0.0038906308722712613","0.08319627791493057","CBLL1","1150"
"-0.08512787140664616","0.003865520652849028","0.08297046650977205","CERS3","1150"
"-0.08514529862424035","0.003858230335461169","0.08291802305117364","ZNF296","1150"
"-0.08517248571752922","0.6923235149333176","0.9054862813733127","RASSF10","24"
"-0.08517343128571951","0.003846487935935338","0.08291802305117364","DISP2","1150"
"-0.08520265535620239","0.0038343243351469498","0.08291802305117364","CAPZB","1150"
"-0.08544490067826924","0.11965882164915222","0.5936918458746399","AMELY","333"
"-0.08547547772373468","0.003722443148288433","0.08161760650902768","RAN","1150"
