ANKRD61	ASPG
ANXA2	ASPG
ARHGAP4	ASPG
ARMC9	ASPG
A4GALT	ASPSCR1
ADGRB3	ASTL
ADRA2B	ASTL
ACSS2	ASTN1
ACAD8	ATAD2B
ATAD3A	ATAD3B
AHNAK2	ATAD3C
ADO	ATE1
ANKRD50	ATF2
ASNS	ATF4
ATG10	ATG12
ATG101	ATG12
ATG101	ATG13
ATG13	ATG14
ARMCX5	ATG2B
ATG10	ATG3
ATG16L1	ATG3
ATG16L1	ATG4B
ATG3	ATG5
ATG10	ATG7
ATG101	ATG7
ATG12	ATG7
ATG16L1	ATG7
ATG3	ATG7
ATG101	ATG9A
ATG13	ATG9A
ATG14	ATG9A
ACLY	ATIC
ADSL	ATIC
AHCY	ATIC
AIRIM	ATL2
ACYP2	ATM
APOBEC3B	ATOSA
ANKRD33B	ATP10B
ANO5	ATP10D
ABCA7	ATP11A
ACOT7	ATP11A
ALDH9A1	ATP11B
AGBL1	ATP13A5
AHDC1	ATP13A5
ANKRD34C	ATP13A5
AK8	ATP1B2
ANKRD44	ATP1B2
ACTR10	ATP2A2
ATIC	ATP2B1
ASPG	ATP4B
AFG3L2	ATP5F1B
ATP5F1A	ATP5F1B
ATP5F1B	ATP5F1C
ATP5F1A	ATP5F1D
ATP5F1B	ATP5F1D
ATP5F1C	ATP5F1D
ATP5F1B	ATP5F1E
ATP5F1C	ATP5F1E
ANKRD30A	ATP5MC3
ATP5F1E	ATP5ME
ATP5F1A	ATP5MF
ATP5F1B	ATP5MF
ATP5F1A	ATP5MG
ATP5F1B	ATP5MG
ACTR3C	ATP5MK
AHI1	ATP5MK
AK3	ATP5MK
AP4E1	ATP5MK
APOBEC3B	ATP5MK
AFG3L2	ATP5PB
ATP5F1A	ATP5PB
ATP5F1B	ATP5PB
ATP5F1C	ATP5PB
ATP5MF	ATP5PB
ATP5F1A	ATP5PD
ATP5F1B	ATP5PD
ATP5MG	ATP5PD
ATP5PB	ATP5PD
ATP5F1A	ATP5PF
ATP5F1B	ATP5PF
ATP5PB	ATP5PF
ATP5F1A	ATP5PO
ATP5F1B	ATP5PO
ATP5PB	ATP5PO
ATP6AP1	ATP6AP2
ATP6V0B	ATP6V0C
ATP6V0C	ATP6V0D1
ATP6V0B	ATP6V1A
ATP6V0C	ATP6V1A
ATP6V0D1	ATP6V1A
ABHD12B	ATP6V1B1
ATP6V1A	ATP6V1B2
ATP6V0C	ATP6V1E1
ATP6V1A	ATP6V1E1
ATP6V1C1	ATP6V1E1
ATP6V1D	ATP6V1E1
ALDH3A1	ATP6V1E2
ATP6V0C	ATP6V1F
ATP6V1B2	ATP6V1F
ATP6V1A	ATP6V1G1
AIPL1	ATP6V1G2
APOM	ATP6V1G2
ASB13	ATP6V1G2
ATP6V0D1	ATP6V1H
ATP6V1A	ATP6V1H
ATP6V1C1	ATP6V1H
ATP6V1D	ATP6V1H
ATP6V1E1	ATP6V1H
ATP6V1G1	ATP6V1H
ATOX1	ATP7A
ALPG	ATP9B
APOB	ATRAID
ATR	ATRIP
ASPG	ATXN1
ATP2A2	ATXN10
ADH4	AVPR1A
APBA1	AVPR1A
ATP11A	AVPR2
ADGRF4	AWAT1
AMER1	AXIN1
APC	AXIN1
ADAMTSL3	AXIN2
AGR3	AZGP1
ADSL	AZIN1
ATIC	AZIN1
AADACL2	B3GALNT1
AKAP3	B3GALNT1
AP1S2	B3GALNT1
ATP5MK	B3GALT2
ADAD2	B3GAT1
ARX	B3GNT4
B3GNT2	B3GNT5
ADAM22	B3GNT9
AVIL	B4GALNT1
ARSI	B4GALNT3
ANO9	B4GALNT4
B3GNT2	B4GALT3
B3GNT5	B4GALT3
B3GNT5	B4GALT5
ALDH3A1	B9D1
B3GNT8	B9D1
ATP5MK	B9D2
ADAMTS2	BAALC
ABRAXAS2	BABAM2
BABAM1	BABAM2
APOA1	BACE1
AMBRA1	BAG6
B4GALNT3	BAIAP3
ADAMTS8	BARX2
APAF1	BAX
BAX	BBC3
AIF1L	BBLN
ASB6	BBLN
ATP5MK	BBOF1
ATP6V0D2	BBS12
ANGPTL4	BBS5
APH1A	BBS5
AS3MT	BBS5
ABCD1	BCAP31
ABCA12	BCAT2
ARHGAP45	BCL2
BCL11A	BCL2
ABHD8	BCL2L10
ANKRD33	BCL2L10
ASPG	BCL2L10
ATF5	BCL2L12
BAK1	BCL2L12
ADA2	BCL2L13
